participant_id,group,ml_familiarity,ts_plot_familiarity,xai_rules_familiarity,1,2,3,4,5,6
P01,A,2,3,2,None,None,None,None,None,None
P02,A,3,2,1,The trend of the curve,"Yes, it helps a bit the rules about where the curves goes up and down.","I guess the rules are made to avoid overfitting. So there are phrases such as 'ofren', 'tends' in the rules. But this may lead to confusion. Because there are sometimes both read and blue contained. ",rules,both,It helps me to understand the classifier better.
P03,A,2,5,1,"In task 1 I mainly used the slope at the very start, in task 2 steepness of recovery and have gradual transition","I mainly focused on the slope, slow vs fast recovery",Any rule not quantified will have instances on the boarder e.g where is the cut off point between fast and clear. ,I relied mainly on the examples. but rules told me where to focus,both,rules made me understand the classification better. ,Time series exp from oil industry. He likes Rules because the rules tell him what segments of the TS to focus on. 
P04,A,4,2,4,"Task 1, even bumps, taks 3 drastic upwards steps declining/upwards at the end. ","Yes, late region declines/goes up",No,Rules,Both,"Yes, helped me understand the classifier better",
P05,A,4,4,3,"Abrupt changes, steepness and jaggedness","The rules were crucial, part two felt way easier","As mentioned, one example could have been representative of the other class. Other than that, I felt confident in my ability to classify each class in part 2",Mostly rules,"Both preferably, but rules would be sufficient",I could see how rules could improve my ability to classify,
P06,B,1,4,1,How much did the plot fluctuate and its differences. ,"Yes, I find all rules to be useful. It helped me to better understand the difference","I do not think so, although having specific values is not of mush help",rules guided me to see the differences more clearly in the prototypes,Definitly both,I do think it helped me to iunderstand the difference.,
P07,B,5,5,5,Rules,All,No ,Rules  ,Both,Both,
P08,B,3,4,2,"Dip, the ratical asant and how quick the assant is, how low you get before the rise. ","Yes, with the slop of the first. Plot 1 vs plot 3 for samples.",Rules helped quite a lot,Both,Rules help with more plots without other samples. More specific rules should help more. ,,
P09,B,2,1,2,"For the first task, I applied the explanations of looking at the early region. The second task, no visual features I think. Maybe the largest peaks and where they appeared well as the shape of the largest peak, If it was a V or a V","Yes, in the first task, with specific rules helped. In assigning with class it belongs to. ","Yes, the second task with no rules. It was hard to label. ","I think I used rules, and if that seemed unclear I went back to prototypes",Both,Mainly help with ensuring the test,
P10,B,2,5,1,Top and bottom points,"Yes. In the first task, I ifnored all other visual other than the rules. It made it clearer",Yes. second task was difficult to distinguish ,rules in the condition,Both rules for logic and prototypes for intuition,Mainlt answer the test,
P11,C,3,2,3,"slopes, curves","Yes, the description of the curve of the rules","No, rules where clear",More on rules,rules only,Understand the claddifier better.,
P12,C,2,3,2,"General shape of the plot, values at start, values at end where and how much the curve drops/rises","Yes, it definitly helped in that task I mainly used the start at the plat and wheather it dropped or not to classify","A bit. For task 2 some of the B plots still had a drop at the beginning, so it was a bifficult to know how large the drop had to be in order to classify as R",More rules,Both,I would say it helped for understanding better. ,
P13,C,3,3,4,,,,,,,
P14,C,5,4,4,"The length of a drop/increas, the variation within a drop/increase segments variation within stationary segments","Yes, it helped poiting out that the red lines had highr variance in the first region",No,50/50,Both,It helped the understanding,
P15,C,5,4,4,I mostly looked ath the shape of the early part of the series (wheather it started high or near 0) and wheather there was a sharp downwards drop at the biginning (taks 2). Task 1 on the other hand was harder to describe in terms of festures. I relied more on general similarity to the ref examples,"Yes, they helped. R1 pointed to a useful threshold to check","Yes, R2 was hard to apply because the plot had no axis lables, making it impossible to verify 0.15 threshold","Both. In taks 1, in particular, there were no rules, so I relied entirely on prototypes. In task 2, I learned the rules since they rpovided explicit criteriosn, though I still look into portotypes for borderline cases",Both. Rules have/explained structure but prototypes helped with borderline cases where the rule threshold were ambiguous visual-wise,"Mostly helped answer the test, the rules describing meaningful parrtes/behaviour, but without axis values it was difficult to gain deeper understadning of the underlying logic of the classifier. ",
P16,D,2,3,1,,,,,,,
P17,D,2,1,1,Pattern ,No,Yes,Rules,Both,did not help,
P18,D,4,4,4,Sequence of bumps...,First more than the second,Sometimes yes,More on prototypes,Both,Would be hard to distinguish otherwise,
P19,D,5,2,4,"The rules for task 1, and then three or two tops for task 2","Maybe, Im not confident in my classification","Yes, I felt they were very similar when looking at the plots, they looked the same.",Prototyes,Both,Mainly help answer the test,
P20,D,5,4,4,Mostly sharp changes early in the series,"Yes, I used mostly the first part","Yes, it was unclear how to weight the two rules",Rules,Both,Help to answer
