ruleset_id,dataset,run_idx,class_label,cluster,cluster_label,ruleset_text,feature_type_seed,time_focus_seed,shape_terms_seed,manual_feature_type,manual_time_focus,manual_shape_terms,manual_notes
Chinatown|run1|class0,Chinatown,1,0,2,early-baseline,"In the early region, average values are clearly above zero (around 0.1 or higher); the series starts at a moderate level before dipping. Within the early region, there is a strong downward drop (the first value is at least about 0.15 higher than the early minimum), giving a pronounced descending shoulder.",region-statistic,early,dip,,,,
Chinatown|run1|class1,Chinatown,1,1,2,early-baseline,"In the early region, average values stay very close to zero (below about 0.1); the series begins on a low baseline. Within the early region, variation is small (the difference between highest and lowest early values is less than about 0.15), so this part appears almost flat near zero.",region-statistic,early,baseline,,,,
Chinatown|run2|class0,Chinatown,2,0,2,early-baseline,"In the early region (roughly the first quarter of time), values form a clearly elevated shoulder: at least one early point is around 0.2 or higher and the average level there is above roughly 0.08.",threshold,early,none,,,,
Chinatown|run2|class1,Chinatown,2,1,2,early-baseline,"In the early region (first quarter of time), the series hugs the baseline: all early points stay below about 0.15 and the average level there remains below roughly 0.07.",threshold,early,baseline,,,,
Chinatown|run3|class0,Chinatown,3,0,2,early-baseline,"In the early region (first third of the series), the average value is clearly above zero, roughly 0.08 or higher.",region-statistic,early,none,,,,
Chinatown|run3|class1,Chinatown,3,1,2,early-baseline,"In the early region (first third of the series), the average value stays near zero, below roughly 0.08.",region-statistic,early,none,,,,
ECG200|run1|class0,ECG200,1,0,1,shape-trajectory,"After the early valley, the middle and late regions form a flat or gently rising plateau; the late segment does not show a sustained falling tail. When a tall late peak is present (around or above 0.65), the early region also reaches moderate or high values (around or above 0.55), so pronounced peaks appear in both early and late parts.",threshold,multi-region,"plateau, valley, peak, tail, rising, fall, falling",,,,
ECG200|run1|class1,ECG200,1,1,1,shape-trajectory,"After the early valley and mid-series plateau, the late region shows a falling tail, with values steadily decreasing toward the end. Alternatively, the early region stays relatively low (no clear spike above about 0.55) while the only pronounced peak appears late (a single tall spike around or above 0.65).",threshold,multi-region,"plateau, valley, peak, tail, fall, falling, spike",,,,
ECG200|run2|class0,ECG200,2,0,1,shape-trajectory,"After the early valley, the early middle region stays close to that minimum and well below the later plateau, forming a long, gradual upward slope (slow recovery). The late region sits at or above the middle level, often showing an upward bump near the end rather than a smooth sustained decline.",threshold,multi-region,"plateau, valley, recovery",,,,
ECG200|run2|class1,ECG200,2,1,1,shape-trajectory,"After the early valley, the early middle region jumps quickly up to near the plateau level, forming a sharp upward step (fast recovery). From the middle into the late region the series tends to drift downward, or any late peak is brief and followed by a return to the middle plateau level.",shape-trajectory,multi-region,"plateau, valley, peak, recovery",,,,
ECG200|run3|class0,ECG200,3,0,0,middle-threshold,Mean value in the middle third of the time series is less than 0.35.,region-statistic,middle,none,,,,
ECG200|run3|class1,ECG200,3,1,0,middle-threshold,Mean value in the middle third of the time series is at least 0.38.,region-statistic,middle,none,,,,
SonyAIBORobotSurface1|run1|class0,SonyAIBORobotSurface1,1,0,1,shape-trajectory,"Two very deep troughs of almost equal depth appear, one in the early region and one in the late region, with the values between them oscillating around a mid‑level.",threshold,multi-region,trough,,,,
SonyAIBORobotSurface1|run1|class1,SonyAIBORobotSurface1,1,1,1,shape-trajectory,A single clearly deepest trough appears only in the late region after the main middle peak; all earlier dips stay noticeably higher than this late minimum.,shape-trajectory,multi-region,"trough, peak, dip",,,,
SonyAIBORobotSurface1|run2|class0,SonyAIBORobotSurface1,2,0,1,shape-trajectory,"In the middle region the series is roughly flat or slightly falling, without a long smooth rising trend from the early low into a dominant mid-series peak. In the late region there are multiple sharp troughs separated by rebounds, giving a repeating spike‑and‑crash pattern after halfway through the series.",shape-trajectory,multi-region,"trough, peak, rising, fall, falling, spike",,,,
SonyAIBORobotSurface1|run2|class1,SonyAIBORobotSurface1,2,1,1,shape-trajectory,"After the early low trough the middle region shows a clear, extended rising trend that builds steadily into the main mid-series peak. In the late region there is a single pronounced trough followed by a broad recovery; after this trough the values stay noticeably higher and do not return to a similarly deep low.",shape-trajectory,multi-region,"trough, peak, recovery, rising",,,,
